episode,return,moving_avg_30
264,-1.141999999999983,-1.3442999124526978
265,-0.8850000000000005,-1.338399887084961
266,-1.1169999999999862,-1.341399908065796
267,-1.176999999999978,-1.3601666688919067
268,-1.619999999999918,-1.3813998699188232
269,-1.4999999999999292,-1.4049665927886963
270,-1.5899999999999237,-1.4222666025161743
271,-1.5699999999999228,-1.4205998182296753
272,-1.6099999999999228,-1.4308667182922363
273,-1.5499999999999268,-1.4411998987197876
274,-1.5599999999999237,-1.4558334350585938
275,-1.559999999999921,-1.4531667232513428
276,-1.5199999999999274,-1.4809666872024536
277,-1.5699999999999221,-1.48496675491333
278,-1.6399999999999164,-1.495400071144104
279,-1.6299999999999153,-1.5014336109161377
280,-1.5899999999999206,-1.4994333982467651
281,-1.5499999999999268,-1.4967666864395142
282,-1.510999999999937,-1.4921334981918335
283,-0.5469999999999997,-1.459466814994812
284,-1.2929999999999648,-1.4475667476654053
285,-0.9220000000000004,-1.4256335496902466
286,-1.6199999999999188,-1.426300048828125
287,-1.5299999999999245,-1.4246333837509155
288,-1.4099999999999324,-1.4179667234420776
289,-1.529999999999929,-1.4169666767120361
290,-1.6199999999999204,-1.4169665575027466
291,-1.6399999999999184,-1.417299747467041
292,-1.6699999999999158,-1.4226664304733276
293,-1.5899999999999188,-1.4421331882476807
294,-1.509999999999933,-1.4543997049331665
295,-1.4899999999999278,-1.4745665788650513
296,-1.549999999999927,-1.4889999628067017
297,-1.5099999999999303,-1.500099778175354
298,-1.4899999999999316,-1.495766520500183
299,-1.5799999999999226,-1.4984333515167236
300,-1.5999999999999222,-1.4987666606903076
301,-1.5599999999999266,-1.4984334707260132
302,-1.4999999999999298,-1.4947665929794312
303,-1.539999999999926,-1.4944336414337158
304,-1.559999999999924,-1.4944335222244263
305,-1.5999999999999206,-1.4957667589187622
306,-1.549999999999925,-1.4967668056488037
307,-1.5099999999999274,-1.4947665929794312
308,-1.4499999999999307,-1.4884333610534668
309,-1.5099999999999312,-1.4844332933425903
310,-1.5999999999999222,-1.4847663640975952
